term,Df,SumOfSqs,F,Pr(>F)
color,1,0.24478084603321193,1.568951246392207,0.163
intensity,4,3.7761918096497773,6.0509849344607245,0.001
dist_km,1,0.9722377435535279,6.231670673002285,0.001
mean_phase,1,0.6193503850548083,3.969798186143169,0.004
pct_nonforest,1,0.16214645677526818,1.0392965363847142,0.349
brightness_dark,1,0.1350812689088805,0.8658190730743428,0.456
Residual,122,19.033901330409233,NA,NA
