term,Df,SumOfSqs,F,Pr(>F)
color,1,0.7032343950724638,2.4904214837602603,0.004
intensity,4,4.159202689921848,3.6823311711124043,0.001
dist_km,1,0.9815263973546422,3.475959714112006,0.002
mean_phase,1,0.5084425871982177,1.8005893216963786,0.038
pct_nonforest,1,0.3976214642773357,1.4081294145722938,0.114
brightness_dark,1,0.2452092128568495,0.8683794421797507,0.611
Residual,123,34.732205435086,NA,NA
