term,Df,SumOfSqs,F,Pr(>F)
color,1,0.4083989028624231,1.2091036019203576,0.208
intensity,4,3.9071685970745094,2.8918855994235657,0.001
dist_km,1,1.1801722562160037,3.494011653498346,0.001
mean_phase,1,0.3985918226617997,1.180068812865378,0.229
pct_nonforest,1,0.5064576822542435,1.4994158983823882,0.045
brightness_dark,1,0.4514945048044865,1.3366922099451644,0.096
Residual,121,40.87016792263943,NA,NA
