filename,site,condition,mean_dsu,median_dsu,sd_dsu,mean_dsu_g,iso,aperture_f,exposure_s
grte01_distance_dark_p1.CR2,GRTE01,dark,5.927073709810376,1.138183610384873,120.84095954175363,5.307628061839714,3200.0,3.5,30.0
grte01_distance_dark_p2.CR2,GRTE01,dark,5.880547096290496,1.1060131433133698,120.3054037149688,5.2525313212954305,3200.0,3.5,30.0
grte01_distance_dark_p3.CR2,GRTE01,dark,5.9892845925149265,1.2086817934716894,119.82628679696377,5.371178687900676,3200.0,3.5,30.0
grte01_distance_white100_p1.CR2,GRTE01,white100,20.142861016442495,3.799192175084616,122.75054169223948,18.941628706183234,3200.0,3.5,30.0
grte01_distance_white100_p2.CR2,GRTE01,white100,20.1547399802194,3.8071895725600338,122.64943651329008,18.954722438494247,3200.0,3.5,30.0
grte01_distance_white100_p3.CR2,GRTE01,white100,20.099964272110324,3.7872136897214985,122.16537247158013,18.890553662315217,3200.0,3.5,30.0
grte02_distance_dark_p1.CR2,GRTE02,dark,4.055877822474177,4.141558424131702,4.784298766633573,4.0762821004936916,3200.0,3.5,30.0
grte02_distance_dark_p2.CR2,GRTE02,dark,4.084979443861554,4.162502158384262,4.970665856982921,4.112973353293492,3200.0,3.5,30.0
grte02_distance_dark_p3.CR2,GRTE02,dark,4.07404612596697,4.15388923504356,4.990614777952149,4.103231740505757,3200.0,3.5,30.0
grte02_distance_white100_p1.CR2,GRTE02,white100,3.5324774394818284,3.424452988625632,5.876772187752496,3.352686550210299,3200.0,3.5,30.0
grte02_distance_white100_p2.CR2,GRTE02,white100,3.5072635607056153,3.407292771468111,5.899717085046055,3.344975042928783,3200.0,3.5,30.0
grte02_distance_white100_p3.CR2,GRTE02,white100,3.491930447707836,3.393462822400963,5.964222948766904,3.330402193408435,3200.0,3.5,30.0
grte03_distance_dark_p1.CR2,GRTE03,dark,3.7185962170755062,3.789556198538121,4.630681009875509,3.7449583063597114,3200.0,3.5,30.0
grte03_distance_dark_p2.CR2,GRTE03,dark,3.705589924387416,3.7785158730596957,4.573805187256443,3.7320343936257565,3200.0,3.5,30.0
grte03_distance_dark_p3.CR2,GRTE03,dark,3.6644462541279452,3.7412358575002704,4.710958643840285,3.685337821213019,3200.0,3.5,30.0
grte03_distance_white100_p1.CR2,GRTE03,white100,3.9227392007982442,3.808391795338768,6.405209134202015,3.7623032804554097,3200.0,3.5,30.0
grte03_distance_white100_p2.CR2,GRTE03,white100,3.9205099758677324,3.8121240998687553,6.3715284692976555,3.7615113646522254,3200.0,3.5,30.0
grte03_distance_white100_p3.CR2,GRTE03,white100,3.913491055590488,3.8010356454958685,6.104403318763222,3.751143979260896,3200.0,3.5,30.0
grte05_distance_dark_p1.CR2,GRTE05,dark,8.550344571451278,4.059371587252379,162.16316636745105,8.154368911097649,3200.0,3.5,30.0
grte05_distance_dark_p2.CR2,GRTE05,dark,8.478717490736024,4.060357231320041,161.07446027588716,8.088587951011645,3200.0,3.5,30.0
grte05_distance_dark_p3.CR2,GRTE05,dark,8.407037887293916,4.030831735772151,160.25440184071417,8.015404015923094,3200.0,3.5,30.0
