contrast,intensity,ratio,SE,df,null,z.ratio,p.value,lower_CL,upper_CL,species
W / R,10,0.8504643984086421,0.2673150792339116,Inf,1,-0.5153171259634585,0.6063314333945167,0.3265268431101753,1.3744019537071088,Geometridae
W / R,30,0.568748211700312,0.18601888193611332,Inf,1,-1.7253869009210807,0.08445777037165378,0.20415120310552987,0.933345220295094,Geometridae
W / R,50,0.863584346123321,0.32943510008914345,Inf,1,-0.384465654423612,0.7006333472376249,0.21789154994859983,1.5092771422980422,Geometridae
W / R,70,1.0678535342381168,0.2541768786978071,Inf,1,0.27581271704947324,0.7826919156540502,0.5696668519904149,1.5660402164858187,Geometridae
W / R,100,2.8710753944049467,0.8327433735256156,Inf,1,3.6362762152498482,2.766077273265879e-4,1.2388983822947404,4.503252406515153,Geometridae
W / R,10,0.8871537570381695,0.5461932116055016,Inf,1,-0.19448264383306843,0.84579798448872,-0.18338493770861375,1.9576924517849528,Lasiocampidae
W / R,30,0.8225537202468152,0.26294009224269066,Inf,1,-0.6110854526654643,0.5411430099858641,0.3071911394511415,1.3379163010424888,Lasiocampidae
W / R,50,1.10338582456036,0.39488187697880367,Inf,1,0.2749048201628312,0.783389363822924,0.32941734568190484,1.8773543034388154,Lasiocampidae
W / R,70,1.2712395066077347,0.3244536640578709,Inf,1,0.9403125059310423,0.34705728662040924,0.6353103250543077,1.9071686881611616,Lasiocampidae
W / R,100,1.6257715434831457,0.899840777577802,Inf,1,0.8780403570733637,0.3799218180836184,-0.1379163805693462,3.3894594675356373,Lasiocampidae
W / R,10,0.9260506733204253,0.2683109243932074,Inf,1,-0.2651590438477088,0.7908869441765777,0.40016126150973885,1.451940085131112,Noctuidae
W / R,30,0.839860072182978,0.23643784141825905,Inf,1,-0.6199192294908852,0.5353109649816223,0.37644190300319025,1.3032782413627657,Noctuidae
W / R,50,1.063058385295208,0.27606243263281394,Inf,1,0.2354758811385964,0.8138393966632252,0.5219760173348927,1.6041407532555234,Noctuidae
W / R,70,1.1993583587171337,0.24311639857789744,Inf,1,0.8968025796752171,0.3698242711998923,0.7228502175044547,1.6758664999298127,Noctuidae
W / R,100,2.5654709918181773,0.5550679917380875,Inf,1,4.354490302878403,1.3337688430556246e-5,1.4775377280115258,3.653404255624829,Noctuidae
W / R,10,0.6148766246719963,0.21817223914840278,Inf,1,-1.370638121387607,0.17048779311926865,0.18725903594112686,1.0424942134028659,Sphingidae
W / R,30,0.832890756687092,0.3241225007349289,Inf,1,-0.46987295900204396,0.6384457847982868,0.19761065524663146,1.4681708581275525,Sphingidae
W / R,50,3.220194066881836,1.703186595204796,Inf,1,2.2110489827114335,0.02703244525688357,-0.11805165971956422,6.558439793483236,Sphingidae
W / R,70,1.0403897886091393,0.3072167509504865,Inf,1,0.1340899901615273,0.8933314148548033,0.4382449567461858,1.6425346204720928,Sphingidae
W / R,100,0.23975139693367878,0.12402081018185085,Inf,1,-2.760840004303678,0.005765291249614321,-0.0033293910227488732,0.48283218489010643,Sphingidae
W / R,10,1.1369950536206266,0.4039613839809148,Inf,1,0.36136499559176427,0.7178266119867456,0.34523074101803364,1.9287593662232196,Erebidae
W / R,30,1.185823326262013,0.3604881560614014,Inf,1,0.560652410867688,0.5750345150530687,0.4792665403816663,1.8923801121423598,Erebidae
W / R,50,1.0625300770692119,0.45780341196729213,Inf,1,0.14077125661621048,0.8880506508084648,0.1652353896133193,1.9598247645251043,Erebidae
W / R,70,1.325616299439683,0.33525798700438103,Inf,1,1.1145487962362508,0.2650438229114531,0.6685106449110961,1.98272195396827,Erebidae
W / R,100,2.580844773441303,0.7812878421662848,Inf,1,3.131934347659832,0.0017365870333084438,1.0495206027953847,4.112168944087221,Erebidae
W / R,10,1.1902765202471883,0.5262174383672786,Inf,1,0.3939988954069357,0.6935818547526643,0.15889034104732214,2.2216626994470543,Notodontidae
W / R,30,0.6452623584028503,0.4310341460096011,Inf,1,-0.6558374479958854,0.5119287188208397,-0.19956456777596787,1.4900892845816684,Notodontidae
W / R,50,1.1033263700697904,0.5615478658691688,Inf,1,0.19319747387945407,0.846804317021093,0.002692552966219619,2.203960187173361,Notodontidae
W / R,70,0.7803826145338052,0.3105451898606963,Inf,1,-0.6231370606838096,0.5331944574170466,0.17171404240684052,1.3890511866607698,Notodontidae
W / R,100,0.8248167398020156,0.4870872946844357,Inf,1,-0.32613208946106764,0.7443244192725813,-0.1298743577794783,1.7795078373835096,Notodontidae
