cluster,Streetlights_activitiesmorepleasurable,Streetlights_eyetransition,Streetlights_activitiesdifficult,Streetlights_lesssafe,Streetlights_easiernavigate,Streetlights_wildlifebehavior,Streetlights_wildlifebenefits,Streetlights_reducehumanimpacts,Streetlights_bright,Streetlights_dark,Streetlights_pointsofinterest,Streetlights_affectGYE,Streetlights_unlitareas
1,4.15,4.51,1.57,1.36,3.72,3.75,3.96,3.9,1.37,1.4,1.52,2.72,3.45
2,2.69,2.06,2.4,1.79,2.99,1.78,1.79,1.79,2.67,1.6,1.67,2.93,2.79
