dist_km.trend,SE,df,lower_CL,upper_CL,trait_level,trait
0.130450916448846,0.0627008088424006,Inf,0.007559589316210286,0.2533422435814817,Low,ear_height
0.034917064666206844,0.06188140915274379,Inf,-0.08636826858575819,0.1562023979181719,Mean,ear_height
-0.06061678711643229,0.06270123738079758,Inf,-0.18350895416889207,0.062275379936027477,High,ear_height
0.09582490181695383,0.06487218339330222,Inf,-0.03132224123239588,0.22297204486630354,Low,forearm_length
0.02491652048680932,0.06426877189306231,Inf,-0.10104795775421288,0.1508809987278315,Mean,forearm_length
-0.04599186084333518,0.06519016127180412,Inf,-0.17376222908242905,0.0817785073957587,High,forearm_length
0.09313321341457241,0.06570099366618323,Inf,-0.03563836791964088,0.22190479474878572,Low,wing_loading
0.032098651750085125,0.06511212209469208,Inf,-0.09551876251248602,0.15971606601265625,Mean,wing_loading
-0.02893590991440216,0.06591873700742075,Inf,-0.15813426035531442,0.10026244052651008,High,wing_loading
0.08873018877435036,0.06647264132158566,Inf,-0.04155379417320647,0.21901417172190718,Low,aspect_ratio
0.029304964514999497,0.06582108833684494,Inf,-0.09970199804844593,0.15831192707844494,Mean,aspect_ratio
-0.03012025974435137,0.06681284744081224,Inf,-0.16107103443291243,0.10083051494420969,High,aspect_ratio
