row_id,cluster,F1,F2,F3,StreetlightCondition,Acceptable_Sky_Conditions
1,1,1.1185040648083788,1.0801525421641633,-0.7086603916755938,1,3
2,1,1.28386058376335,1.2385558110928028,-0.77667393581519,1,5
3,1,0.6748368816132911,0.5919124630642806,-0.6878973189430161,1,5
4,2,0.4448995784312843,-1.1287772108275513,2.0805827224827045,1,6
5,1,1.0017605862877945,0.5404543249652078,-0.75289335278426,1,7
6,1,-0.18666356728513517,0.25004043574506724,-0.11117324309764672,1,4
7,1,-0.014622692834329263,0.1477695630897864,-0.7730661509612948,1,6
8,1,1.4765792845202907,0.4662254036199059,-9.358637409745435e-4,1,6
9,2,-1.3520034168900394,-0.9226672330256447,-0.4793848346111002,1,4
10,1,1.1774952514056958,0.683872511829811,2.1022375975556584,1,5
11,1,0.9295563541984216,0.3864066178921444,-0.6591454059012692,1,6
12,2,-0.1623736010515119,-0.6896588421438494,-0.2194235648397637,1,6
13,1,0.5441578436954502,0.2795592033205825,-0.22011589579996785,1,2
14,2,-1.4594179107613816,-1.7187055172309686,-0.39899472226965926,1,4
15,2,-0.21175245089184436,-0.4163982316731334,0.2862490082101992,1,6
16,1,0.7097660459747512,0.9374289467077204,-0.6519689364203557,1,6
17,1,1.2725068063692557,0.9634050926103422,-0.8037276619283085,1,7
18,1,-0.6025709975648853,0.5087119005346409,-0.26929165240998243,1,4
19,1,1.351077792800549,0.2010764775143965,-0.03746966486798037,1,6
20,1,0.9076134808909175,1.001852934260038,-0.584254924816093,1,6
21,1,0.03386759213856024,0.10288338004804336,-0.6322299149840864,1,6
22,2,-1.3801812200164079,-1.028953200542866,-0.6625799263238322,1,5
23,1,0.5818132642851058,0.01769664976681638,0.5740022509544276,1,6
24,1,0.07434370678553454,0.9449814604844455,-0.6939871803995721,1,7
25,2,0.25007526935601804,-1.2940306823419994,-0.44677472107055655,1,3
26,1,1.3748077062315438,0.9100549265388069,-0.6141610337242597,1,6
27,1,1.2883497690271872,1.0556385001421202,-0.752492662608766,1,7
28,1,0.7332244608282598,1.1267104190969572,-0.8752882444086045,1,7
29,1,1.3255470086587864,1.095797675157273,-0.670900890251059,1,6
30,1,0.031030523492332394,0.8714758238996916,-0.7645350105672774,1,7
31,1,1.3496662929192156,0.9836214653969003,-0.6200012122437585,1,6
32,1,1.28386058376335,1.2385558110928028,-0.77667393581519,1,7
33,1,1.3402449822145015,1.1036398292599428,-0.5093508411704517,1,7
34,2,-1.0331003527423435,-0.9041222278937828,-0.25107828703800034,1,2
35,1,0.28986871002920916,0.35492498795467287,-0.2798984461432848,1,NA
36,2,-1.422173329488775,-1.749381908495873,1.4393325997754858,1,3
37,1,0.6631588249451005,-0.05139840759164713,-0.478957409584318,1,6
38,1,1.4211587019105605,0.7634070466004568,0.08335628275539844,1,7
39,1,1.284882712815249,1.2771654819950822,-0.8217334353029915,1,6
40,2,-0.38641874959127687,-0.29415357539302267,0.6018966186315929,1,2
41,1,1.2494253481305466,1.1919299983115894,0.506043933845002,1,7
42,1,1.373785577179645,0.8714452556365276,-0.5691015342364582,1,3
43,2,0.47149001966570997,-0.4803460649640906,1.9753838145334721,1,6
44,1,1.3135202624131859,1.1106641654329343,-0.32213186978007485,1,3
45,1,1.0468175600180014,0.250125830664134,1.4346071227628867,1,5
46,1,-1.101596487103396,0.8366603953076217,-0.06979584853833665,1,2
47,1,0.06903440840674095,0.928816268533892,-0.7938636212637338,1,6
48,1,1.2843716482892995,1.2578606465439426,-0.7992036855590907,1,7
49,1,0.6561468653893451,1.031506322627578,0.29852421574537436,1,7
50,1,0.7536286183114218,1.1595602488008216,-0.797830916379978,1,7
51,1,0.036272224833840044,0.1114420623284489,-0.66701796198732,1,6
52,2,-0.8254826490803326,-0.07429603755338174,-0.9037193849643232,1,6
53,1,-0.19179625278236367,0.5936646000251669,0.3123835096296375,1,6
54,1,0.2255220457247213,-0.2942572801848388,0.45492812975178687,1,3
55,1,1.332661502001167,0.9049630704464944,1.560556401184146,1,4
56,1,0.38444923322857527,1.1669071373760938,-0.8077343427202822,1,5
57,1,0.6495283111106411,0.35466166779056235,0.45607303086501305,1,4
58,1,0.9762258622230949,0.9582684849120209,0.5685226348279421,1,6
59,1,1.055809099054788,0.7554873952998398,-0.6755109717361543,1,7
60,1,0.6001934351636559,-0.6292474855293909,0.28046344277167673,1,4
61,1,1.28386058376335,1.2385558110928028,-0.77667393581519,1,7
