rec_key,site,id_445,id_30
GRTE01_20220711_012552,GRTE01,Myev,Myse
GRTE01_20220711_021929,GRTE01,Lano,Lano
GRTE01_20220711_025239,GRTE01,Myvo,Mylu
GRTE01_20220711_025859,GRTE01,Myvo,Myvo
GRTE01_20220711_031140,GRTE01,Laci,Laci
GRTE01_20220711_031534,GRTE01,Myyu,Myyu
GRTE01_20220711_032333,GRTE01,Epfu,Epfu
GRTE01_20220711_033756,GRTE01,Myvo,Myvo
GRTE01_20220711_035206,GRTE01,Myvo,Myvo
GRTE01_20220711_041755,GRTE01,Myvo,Mylu
GRTE01_20220711_044230,GRTE01,Myvo,Myvo
GRTE01_20220711_214333,GRTE01,Laci,Laci
GRTE01_20220711_221812,GRTE01,Lano,Lano
GRTE01_20220711_222251,GRTE01,Laci,Laci
GRTE01_20220711_232505,GRTE01,Mylu,Labo
GRTE01_20220711_234256,GRTE01,Mylu,Mylu
GRTE01_20220711_234617,GRTE01,Laci,Laci
GRTE01_20220711_234843,GRTE01,Mylu,Mylu
GRTE01_20220712_000955,GRTE01,Laci,Laci
GRTE01_20220712_001247,GRTE01,Mylu,Labo
GRTE01_20220712_002340,GRTE01,Mylu,Mylu
GRTE01_20220712_004022,GRTE01,Myvo,Myvo
GRTE01_20220712_004714,GRTE01,Mylu,Mylu
GRTE01_20220712_015037,GRTE01,Mylu,Mylu
GRTE01_20220712_030646,GRTE01,Myvo,NoID
GRTE01_20220712_032316,GRTE01,Laci,Laci
GRTE01_20220712_043300,GRTE01,Laci,Laci
GRTE01_20220712_051216,GRTE01,Myvo,Mylu
GRTE01_20220713_020836,GRTE01,Laci,Laci
GRTE01_20220713_024842,GRTE01,Laci,Laci
GRTE01_20220713_032404,GRTE01,Laci,Laci
GRTE01_20220713_040216,GRTE01,Mylu,Mylu
GRTE01_20220713_044541,GRTE01,Laci,Laci
GRTE01_20220713_214253,GRTE01,Myyu,Myyu
GRTE01_20220713_222938,GRTE01,Laci,Laci
GRTE01_20220713_230924,GRTE01,Laci,Laci
GRTE01_20220713_233207,GRTE01,Myvo,Myvo
GRTE01_20220719_214955,GRTE01,Lano,Lano
GRTE01_20220719_225329,GRTE01,Myvo,Myvo
GRTE01_20220719_231803,GRTE01,Laci,Laci
GRTE01_20220719_233733,GRTE01,Mylu,HiF
GRTE01_20220720_001008,GRTE01,Laci,Laci
GRTE01_20220720_001058,GRTE01,Laci,Laci
