rec_key,site,id_a,id_b
GRTE01_20240701_015134,GRTE01,Mylu,Mylu
GRTE01_20240701_015807,GRTE01,Lano,Lano
GRTE01_20240701_015902,GRTE01,Lano,Epfu
GRTE01_20240701_020012,GRTE01,Mylu,Labo
GRTE01_20240701_020629,GRTE01,Lano,Lano
GRTE01_20240701_020959,GRTE01,Lano,Epfu
GRTE01_20240701_021713,GRTE01,Mylu,Mylu
GRTE01_20240701_022157,GRTE01,Lano,Lano
GRTE01_20240701_022212,GRTE01,Lano,Lano
GRTE01_20240701_023159,GRTE01,Mylu,Mylu
GRTE01_20240701_023524,GRTE01,Lano,Lano
GRTE01_20240701_024157,GRTE01,Lano,Lano
GRTE01_20240701_025052,GRTE01,Mylu,Labo
GRTE01_20240701_030407,GRTE01,Lano,Lano
GRTE01_20240701_030810,GRTE01,Lano,Lano
GRTE01_20240701_032258,GRTE01,Laci,Laci
GRTE01_20240701_032542,GRTE01,Epfu,Epfu
GRTE01_20240701_032917,GRTE01,Lano,Lano
GRTE01_20240701_032958,GRTE01,Epfu,Epfu
GRTE01_20240701_033103,GRTE01,Epfu,Epfu
GRTE01_20240701_033646,GRTE01,Mylu,Mylu
GRTE01_20240701_034642,GRTE01,Lano,Epfu
GRTE01_20240701_040121,GRTE01,Lano,Lano
GRTE01_20240701_041148,GRTE01,Lano,Lano
GRTE01_20240701_041537,GRTE01,Lano,Lano
GRTE01_20240701_043129,GRTE01,Lano,Lano
GRTE01_20240701_043427,GRTE01,Epfu,Epfu
GRTE01_20240701_043827,GRTE01,Epfu,Epfu
GRTE01_20240702_220351,GRTE01,Lano,Lano
GRTE01_20240702_223934,GRTE01,Lano,Lano
GRTE01_20240702_230351,GRTE01,Lano,Lano
GRTE01_20240702_230718,GRTE01,Lano,Lano
GRTE01_20240702_233226,GRTE01,Lano,Lano
GRTE01_20240702_233908,GRTE01,Lano,Lano
GRTE01_20240703_014831,GRTE01,Lano,Lano
GRTE01_20240703_021844,GRTE01,Myev,Myse
GRTE01_20240703_035050,GRTE01,Lano,Lano
GRTE01_20240703_044105,GRTE01,Lano,Lano
GRTE01_20240703_213810,GRTE01,Lano,Epfu
GRTE01_20240703_223538,GRTE01,Epfu,Epfu
GRTE01_20240703_225143,GRTE01,Lano,Lano
GRTE01_20240703_230045,GRTE01,Mylu,Mylu
GRTE01_20240703_230402,GRTE01,Lano,Lano
GRTE01_20240703_234610,GRTE01,Lano,Lano
GRTE01_20240704_024809,GRTE01,Lano,Lano
GRTE01_20240704_223642,GRTE01,Laci,Laci
