id,v4_4_5,v30_1,ratio
Mylu,9966,86526,8.7
Lano,18656,19307,1
Myvo,565,30758,54.4
Labo,0,10153,10153
Laci,3436,5243,1.5
Epfu,533,3997,7.5
Myse,0,3107,3107
Myci,11,1598,145.3
Myca,82,1319,16.1
Myev,1091,18,0
Myyu,123,546,4.4
HiF,0,197,197
Anpa,34,89,2.6
Coto,0,117,117
Euma,69,3,0
Myth,0,28,28
